condition,emmean,SE,df,asymp.LCL,asymp.UCL
D_exp3,0.1663323455762658,0.01250311545991348,Inf,0.14182668958028943,0.19083800157224218
C_exp3,0.13997895163038554,0.012503093002496348,Inf,0.11547333965013794,0.16448456361063316
B_exp3,0.041149263789728024,0.012503187213198421,Inf,0.016643467159897396,0.06565506041955865
A_exp3,0.024992830502263474,0.012503091713894066,Inf,4.8722104762993074e-4,0.04949843995689702
