condition,emmean,SE,df,asymp.LCL,asymp.UCL
D_exp1,0.14928903828330722,0.01578285669467612,Inf,0.11835520758858516,0.1802228689780293
C_exp1,0.15269735640468385,0.015783004640882146,Inf,0.12176323574072632,0.18363147706864139
B_exp1,0.16630902591611438,0.01578290306047516,Inf,0.13537510434609606,0.1972429474861327
A_exp1,0.18288886629403714,0.01578300174603379,Inf,0.15195475130387812,0.21382298128419616
