condition,emmean,SE,df,asymp.LCL,asymp.UCL
D_exp2,0.12316062910675177,0.011621852466073317,Inf,0.10038221683961006,0.14593904137389346
C_exp2,0.16861782450165225,0.011622165742088658,Inf,0.14583879822480325,0.19139685077850124
B_exp2,0.11942054673714839,0.011622091586684712,Inf,0.09664166580222039,0.14219942767207638
A_exp2,0.08633373869471747,0.011621884661190983,Inf,0.06355526332630466,0.10911221406313028
