additive_raw_pl,opacity_raw,size_raw,my_rs,difference,standard_curve,additive_power,opacity_power,size_power,two_size_added,size_added,opacity_added,both_added,rotated_curve
0.7698507079,0.5756817512,0.6871306164,0.702727273,-0.0671234349,0.5152391713,0.2546115366,0.0604425799,0.1718914451,0.8590220615,0.6871306164,0.5756817512,0.7475731963,0.837621969
0.7816407785,0.5922113145,0.6711352783,0.720681818,-0.0609589605,0.5375386483,0.2441021301,0.0546726662,0.13359663,0.8047319084,0.6711352783,0.5922113145,0.7258079445,0.781752462
0.7958995372,0.5876323423,0.707085419,0.738636364,-0.0572631732,0.5579996868,0.2378998504,0.0296326555,0.1490857322,0.8561711512,0.707085419,0.5876323423,0.7367180745,0.8310331542
0.8141059648,0.6167089547,0.7125785054,0.756590909,-0.0575150558,0.5665164362,0.2475895287,0.0501925185,0.1460620692,0.8586405745,0.7125785054,0.6167089547,0.7627710239,0.8316122888
0.8242622823,0.652341229,0.7374868413,0.774545455,-0.0497168273,0.6049586443,0.219303638,0.0473825847,0.132528197,0.8700150383,0.7374868413,0.652341229,0.784869426,0.8410476809
0.835641567,0.647994438,0.7634721663,0.7925,-0.043141567,0.6358745972,0.1997669698,0.0121198408,0.1275975691,0.8910697354,0.7634721663,0.647994438,0.7755920071,0.8601102772
0.8400668163,0.6895538219,0.7694786207,0.810454545,-0.0296122713,0.654150794,0.1859160223,0.0354030279,0.1153278267,0.8848064474,0.7694786207,0.6895538219,0.8048816485,0.8520045391
0.8525606369,0.6859458049,0.7773968233,0.828409091,-0.0241515459,0.6902820581,0.1622785787,-0.0043362532,0.0871147651,0.8645115884,0.7773968233,0.6859458049,0.7730605701,0.8299440964
0.8454884445,0.7209613813,0.7939130644,0.846363636,8.751914666666416e-4,0.7037120062,0.1417764383,0.0172493751,0.0902010582,0.8841141226,0.7939130644,0.7209613813,0.8111624395,0.8475624849
0.8709677863,0.7282511386,0.8138979267,0.864318182,-0.0066496043,0.7526030318,0.1183647545,-0.0243518932,0.0612948949,0.8751928217,0.8138979267,0.7282511386,0.7895460335,0.8368132947
0.8658541905,0.7611276677,0.8146016545,0.882272727,0.0164185365,0.7793677394,0.0864864511,-0.0182400717,0.0352339151,0.8498355696,0.8146016545,0.7611276677,0.7963615828,0.8097181913
0.8755872453,0.7882105222,0.8286995517,0.900227273,0.0246400277,0.7012433135,0.1743439318,0.0869672088,0.1274562382,0.95615579,0.8286995517,0.7882105222,0.9156667605,0.9135792172
0.8862111727,0.8082162765,0.8425798874,0.918181818,0.0319706453,0.7123128535,0.1738983192,0.0959034231,0.1302670339,0.9728469213,0.8425798874,0.8082162765,0.9384833105,0.9283021518
0.9059508694,0.8432148535,0.8578051743,0.936136364,0.0301854946,0.7497865451,0.1561643242,0.0934283083,0.1080186291,0.9658238034,0.8578051743,0.8432148535,0.9512334826,0.9194407462
0.9191006529,0.8601110999,0.8656211368,0.954090909,0.0349902561,0.762462514,0.156638139,0.0976485859,0.1031586228,0.9687797596,0.8656211368,0.8601110999,0.9632697227,0.9205037484
0.9307017809,0.9056856757,0.9034565045,0.972045455,0.0413436741,0.8094109887,0.1212907922,0.096274687,0.0940455158,0.9975020203,0.9034565045,0.9056856757,0.9997311915,0.9471919044
0.9483127058,0.9573373944,0.9175630799,0.99,0.0416872942,0.8861599641,0.0621527417,0.0711774303,0.0314031158,0.9489661957,0.9175630799,0.9573373944,0.9887405102,0.8970452031
