factor,slider.response,my_rs,difference
size_manipulated,0.152635396,0.307727273,0.155091877
size_manipulated,0.953720432,0.846363636,-0.107356796
standard_plot,0.205057271,0.738636364,0.533579093
standard_plot,0.072341953,0.433409091,0.361067138
standard_plot,1,0.99,-0.01
size_manipulated,0.207708571,0.2,-0.007708571
size_manipulated,1,0.99,-0.01
standard_plot,1,0.972045455,-0.027954545
size_manipulated,0.843733181,0.738636364,-0.105096817
size_manipulated,0.099479268,0.325681818,0.22620255
size_manipulated,0.099479268,0.451363636,0.351884368
standard_plot,0.621527981,0.846363636,0.224835655
standard_plot,0.479477743,0.720681818,0.241204075
standard_plot,0.284554511,0.684772727,0.400218216
standard_plot,0.472451104,0.756590909,0.284139805
standard_plot,0.702809245,0.864318182,0.161508937
standard_plot,0.290627645,0.666818182,0.376190537
standard_plot,0.083316786,0.702727273,0.619410487
standard_plot,0.048384332,0.415454545,0.367070213
standard_plot,0.108255141,0.289772727,0.181517586
size_manipulated,0.55882487,0.684772727,0.125947857
standard_plot,0.849159478,0.936136364,0.086976886
standard_plot,0.258142192,0.559090909,0.300948717
size_manipulated,1,0.864318182,-0.135681818
size_manipulated,0.745188395,0.523181818,-0.222006577
standard_plot,0.020521817,0.235909091,0.215387274
size_manipulated,0.021077372,0.702727273,0.681649901
size_manipulated,0.898039958,0.918181818,0.02014186
size_manipulated,0.711947157,0.720681818,0.008734661
standard_plot,0.075381436,0.3975,0.322118564
size_manipulated,0.788106147,0.756590909,-0.031515238
size_manipulated,0.803183933,0.630909091,-0.172274842
standard_plot,0.236249152,0.612954545,0.376705393
standard_plot,0.04285258,0.2,0.15714742
standard_plot,0.10473643,0.630909091,0.526172661
size_manipulated,0.775163167,0.828409091,0.053245924
standard_plot,0.326039225,0.595,0.268960775
size_manipulated,0.695038452,0.577045455,-0.117992997
size_manipulated,0.275384657,0.3975,0.122115343
standard_plot,0.846354709,0.900227273,0.053872564
size_manipulated,0.114079963,0.217954545,0.103874582
standard_plot,0.024016588,0.361590909,0.337574321
standard_plot,0.049071113,0.217954545,0.168883432
standard_plot,0.638709174,0.774545455,0.135836281
size_manipulated,1,0.954090909,-0.045909091
size_manipulated,0.418971558,0.469318182,0.050346624
size_manipulated,1,0.900227273,-0.099772727
standard_plot,0.102940504,0.343636364,0.24069586
standard_plot,0.136830444,0.487272727,0.350442283
standard_plot,0.081914029,0.577045455,0.495131426
size_manipulated,0.157407407,0.235909091,0.078501684
standard_plot,0.213888875,0.325681818,0.111792943
standard_plot,0.515740783,0.846363636,0.330622853
size_manipulated,0.791666667,0.666818182,-0.124848485
standard_plot,0.431481467,0.577045455,0.145563988
size_manipulated,0.224074116,0.325681818,0.101607702
size_manipulated,0.896296325,0.882272727,-0.014023598
size_manipulated,0.75462963,0.702727273,-0.051902357
size_manipulated,0.441666709,0.684772727,0.243106018
size_manipulated,0.780555584,0.810454545,0.029898961
size_manipulated,0.161111125,0.343636364,0.182525239
standard_plot,0.055555556,0.523181818,0.467626262
size_manipulated,0.787037037,0.7925,0.005462963
standard_plot,0.062037044,0.361590909,0.299553865
standard_plot,0.553703732,0.882272727,0.328568995
size_manipulated,0.325925968,0.487272727,0.161346759
size_manipulated,0.718518504,0.774545455,0.056026951
standard_plot,0.170370384,0.595,0.424629616
standard_plot,0.224074116,0.666818182,0.442744066
size_manipulated,0.170370384,0.217954545,0.047584161
size_manipulated,0.259259259,0.505227273,0.245968014
size_manipulated,0.856481481,0.864318182,0.007836701
size_manipulated,0.178703697,0.253863636,0.075159939
size_manipulated,0.148148148,0.271818182,0.123670034
standard_plot,0.113888882,0.415454545,0.301565663
size_manipulated,0.287037037,0.523181818,0.236144781
standard_plot,0.008333347,0.3975,0.389166653
standard_plot,0.494444459,0.864318182,0.369873723
size_manipulated,0.43240745,0.612954545,0.180547095
standard_plot,0.40370369,0.684772727,0.281069037
size_manipulated,0.547222208,0.756590909,0.209368701
standard_plot,0.130555577,0.648863636,0.518308059
size_manipulated,0.40370369,0.630909091,0.227205401
standard_plot,0.123148141,0.559090909,0.435942768
size_manipulated,0.851851852,0.918181818,0.066329966
size_manipulated,0.919444473,0.972045455,0.052600982
standard_plot,0.272222236,0.612954545,0.340732309
size_manipulated,0.750925912,0.900227273,0.149301361
size_manipulated,0.233333376,0.541136364,0.307802988
standard_plot,0.113888882,0.217954545,0.104065663
standard_plot,0.233333376,0.774545455,0.541212079
size_manipulated,0.758333347,0.954090909,0.195757562
standard_plot,0.125,0.343636364,0.218636364
standard_plot,0.567592621,0.972045455,0.404452834
standard_plot,0.185185185,0.469318182,0.284132997
size_manipulated,0.785185213,0.846363636,0.061178423
size_manipulated,0.607407393,0.559090909,-0.048316484
size_manipulated,0.92314812,0.99,0.06685188
standard_plot,0.852777834,0.936136364,0.08335853
size_manipulated,0.292592578,0.469318182,0.176725604
standard_plot,0.535185213,0.954090909,0.418905696
standard_plot,0.10555557,0.271818182,0.166262612
standard_plot,0.059259273,0.379545455,0.320286182
standard_plot,0.148148148,0.630909091,0.482760943
standard_plot,0.050000014,0.289772727,0.239772713
size_manipulated,0.236111111,0.379545455,0.143434344
standard_plot,0.290740755,0.720681818,0.429941063
standard_plot,0.10833334,0.307727273,0.199393933
standard_plot,0.027777778,0.253863636,0.226085858
standard_plot,0.043518526,0.487272727,0.443754201
standard_plot,0.909259231,0.99,0.080740769
size_manipulated,0.169444437,0.3975,0.228055563
size_manipulated,0.548148191,0.648863636,0.100715445
size_manipulated,0.311111097,0.361590909,0.050479812
size_manipulated,0.659259302,0.936136364,0.276877062
size_manipulated,0.244444459,0.433409091,0.188964632
standard_plot,0.39907406,0.918181818,0.519107758
size_manipulated,0.289814843,0.307727273,0.01791243
standard_plot,0.345370399,0.828409091,0.483038692
size_manipulated,0.72592594,0.720681818,-0.005244122
standard_plot,0.47129631,0.900227273,0.428930963
size_manipulated,0.681481467,0.828409091,0.146927624
size_manipulated,0.481481481,0.595,0.113518519
size_manipulated,0.13703703,0.2,0.06296297
standard_plot,0.232407393,0.7925,0.560092607
size_manipulated,0.12962963,0.415454545,0.285824915
standard_plot,0.193518533,0.505227273,0.31170874
standard_plot,0.349074116,0.738636364,0.389562248
standard_plot,0.35555557,0.756590909,0.401035339
size_manipulated,0.348148134,0.577045455,0.228897321
size_manipulated,0.501851894,0.738636364,0.23678447
standard_plot,0.163888896,0.433409091,0.269520195
standard_plot,0.102777799,0.451363636,0.348585837
size_manipulated,0.199074074,0.451363636,0.252289562
standard_plot,0.187962956,0.541136364,0.353173408
standard_plot,0.149074095,0.702727273,0.553653178
standard_plot,0.125925947,0.2,0.074074053
standard_plot,0.374074088,0.810454545,0.436380457
standard_plot,0.11296297,0.235909091,0.122946121
size_manipulated,0.164814808,0.289772727,0.124957919
standard_plot,0.551111111,0.684772727,0.133661616
size_manipulated,0.783333333,0.864318182,0.080984849
standard_plot,0.278888889,0.379545455,0.100656566
size_manipulated,0.906666667,0.936136364,0.029469697
standard_plot,0.376666667,0.505227273,0.128560606
standard_plot,0.36,0.648863636,0.288863636
size_manipulated,0.575555556,0.379545455,-0.196010101
standard_plot,0.331111111,0.541136364,0.210025253
standard_plot,0.394444444,0.289772727,-0.104671717
standard_plot,0.44,0.361590909,-0.078409091
size_manipulated,0.588888889,0.361590909,-0.22729798
size_manipulated,0.79,0.630909091,-0.159090909
size_manipulated,0.906666667,0.828409091,-0.078257576
size_manipulated,0.453333333,0.343636364,-0.109696969
standard_plot,0.797777778,0.918181818,0.12040404
standard_plot,0.957777778,0.99,0.032222222
standard_plot,0.932222222,0.972045455,0.039823233
size_manipulated,0.584444444,0.648863636,0.064419192
standard_plot,0.356666667,0.612954545,0.256287878
standard_plot,0.637777778,0.774545455,0.136767677
standard_plot,0.374444444,0.559090909,0.184646465
size_manipulated,0.381111111,0.415454545,0.034343434
size_manipulated,0.328888889,0.253863636,-0.075025253
size_manipulated,0.661111111,0.505227273,-0.155883838
size_manipulated,0.811111111,0.810454545,-6.565659999999696e-4
size_manipulated,0.922222222,0.954090909,0.031868687
size_manipulated,0.274444444,0.217954545,-0.056489899
standard_plot,0.145555556,0.451363636,0.30580808
standard_plot,0.368888889,0.810454545,0.441565656
standard_plot,0.851111111,0.954090909,0.102979798
size_manipulated,0.417777778,0.487272727,0.069494949
size_manipulated,0.64,0.559090909,-0.080909091
standard_plot,0.254444444,0.325681818,0.071237374
standard_plot,0.441111111,0.595,0.153888889
standard_plot,0.393333333,0.487272727,0.093939394
standard_plot,0.674444444,0.720681818,0.046237374
size_manipulated,0.848888889,0.738636364,-0.110252525
size_manipulated,0.356666667,0.307727273,-0.048939394
size_manipulated,0.743333333,0.702727273,-0.04060606
standard_plot,0.772222222,0.846363636,0.074141414
standard_plot,0.426666667,0.253863636,-0.172803031
standard_plot,0.335555556,0.217954545,-0.117601011
standard_plot,0.71,0.7925,0.0825
size_manipulated,0.947777778,0.972045455,0.024267677
standard_plot,0.401111111,0.630909091,0.22979798
standard_plot,0.601111111,0.756590909,0.155479798
standard_plot,0.402222222,0.307727273,-0.094494949
standard_plot,0.382222222,0.523181818,0.140959596
size_manipulated,0.653333333,0.523181818,-0.130151515
size_manipulated,0.433333333,0.325681818,-0.107651515
standard_plot,0.761111111,0.864318182,0.103207071
size_manipulated,0.648888889,0.577045455,-0.071843434
size_manipulated,0.777777778,0.612954545,-0.164823233
size_manipulated,0.791111111,0.774545455,-0.016565656
standard_plot,0.814444444,0.936136364,0.12169192
size_manipulated,0.898888889,0.7925,-0.106388889
standard_plot,0.448888889,0.3975,-0.051388889
standard_plot,0.424444444,0.415454545,-0.008989899
standard_plot,0.396666667,0.577045455,0.180378788
size_manipulated,0.803333333,0.666818182,-0.136515151
standard_plot,0.456666667,0.343636364,-0.113030303
size_manipulated,0.318888889,0.271818182,-0.047070707
standard_plot,0.653333333,0.702727273,0.04939394
standard_plot,0.412222222,0.469318182,0.05709596
size_manipulated,0.587777778,0.451363636,-0.136414142
size_manipulated,0.657777778,0.541136364,-0.116641414
size_manipulated,0.671111111,0.469318182,-0.201792929
size_manipulated,0.711111111,0.720681818,0.009570707
standard_plot,0.388888889,0.271818182,-0.117070707
standard_plot,0.826666667,0.900227273,0.073560606
size_manipulated,0.778888889,0.882272727,0.103383838
size_manipulated,0.393333333,0.2,-0.193333333
size_manipulated,0.364444444,0.289772727,-0.074671717
size_manipulated,0.948888889,0.99,0.041111111
size_manipulated,0.772222222,0.846363636,0.074141414
size_manipulated,0.508888889,0.3975,-0.111388889
standard_plot,0.768888889,0.882272727,0.113383838
size_manipulated,0.636666667,0.595,-0.041666667
standard_plot,0.444444444,0.2,-0.244444444
size_manipulated,0.798888889,0.756590909,-0.04229798
size_manipulated,0.876666667,0.900227273,0.023560606
standard_plot,0.732222222,0.738636364,0.006414142
size_manipulated,0.386666667,0.433409091,0.046742424
size_manipulated,0.865555556,0.918181818,0.052626262
size_manipulated,0.41,0.235909091,-0.174090909
standard_plot,0.665555556,0.828409091,0.162853535
size_manipulated,0.717777778,0.684772727,-0.033005051
standard_plot,0.348888889,0.235909091,-0.112979798
standard_plot,0.267777778,0.433409091,0.165631313
standard_plot,0.386666667,0.666818182,0.280151515
standard_plot,0.297222208,0.612954545,0.315732337
standard_plot,0.260185171,0.595,0.334814829
size_manipulated,NA,0.559090909,NA
size_manipulated,0.630555541,0.720681818,0.090126277
size_manipulated,0.149074095,0.379545455,0.23047136
size_manipulated,0.104629623,0.271818182,0.167188559
standard_plot,0.182407414,0.756590909,0.574183495
size_manipulated,0.310185185,0.217954545,-0.09223064
size_manipulated,0.529629672,0.774545455,0.244915783
size_manipulated,0.977777834,0.972045455,-0.005732379
size_manipulated,0.954629686,0.936136364,-0.018493322
standard_plot,0.058333326,0.505227273,0.446893947
standard_plot,0.45185188,0.900227273,0.448375393
standard_plot,0.065740762,0.3975,0.331759238
size_manipulated,0.153703725,0.666818182,0.513114457
size_manipulated,0.069444444,0.343636364,0.27419192
size_manipulated,0.110185199,0.648863636,0.538678437
standard_plot,0.163888896,0.738636364,0.574747468
standard_plot,0.002777771,0.271818182,0.269040411
size_manipulated,0.053703697,0.487272727,0.43356903
standard_plot,0.197222215,0.666818182,0.469595967
standard_plot,0.707407422,0.882272727,0.174865305
standard_plot,0.412037037,0.648863636,0.236826599
standard_plot,0.170370384,0.433409091,0.263038707
size_manipulated,0.190740762,0.433409091,0.242668329
size_manipulated,0.191666674,0.595,0.403333326
size_manipulated,0.079629651,0.2,0.120370349
size_manipulated,0.123148141,0.361590909,0.238442768
size_manipulated,0.749074088,0.756590909,0.007516821
standard_plot,0.787037037,0.846363636,0.059326599
size_manipulated,0.196296303,0.253863636,0.057567333
standard_plot,0.059259273,0.253863636,0.194604363
size_manipulated,0.099074081,0.235909091,0.13683501
standard_plot,0.737037023,0.918181818,0.181144795
standard_plot,0.094444452,0.379545455,0.285101003
standard_plot,0.329629616,0.684772727,0.355143111
standard_plot,0.119444459,0.487272727,0.367828268
size_manipulated,0.094444452,0.505227273,0.410782821
size_manipulated,0.904629601,0.954090909,0.049461308
standard_plot,0.013888889,0.415454545,0.401565656
size_manipulated,0.602777764,0.810454545,0.207676781
standard_plot,0.151851866,0.577045455,0.425193589
size_manipulated,0.25,0.523181818,0.273181818
